index,name,ingredient,rumCategory,ingredientCategory,pageNum
1,AKU AKU,(1-INCH-SQUARE) CHUNKS PINEAPPLE ,,FRUIT (PINEAPPLE),39
2,AKU AKU,MINT LEAVES,,LEAVES (MINT),39
3,AKU AKU,LIME JUICE,,JUICE (LIME),39
4,AKU AKU,DEMERARA SYRUP,,SYRUP (DEMERARA),39
5,AKU AKU,"PEACH LIQUEUR (SUCH AS MATHILDE, COMBIER, OR GIFFARD)",,LIQUEUR (PEACH),39
6,AKU AKU,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),39
7,,,,,
8,PUPULE,LIME JUICE,,JUICE (LIME),39
9,PUPULE,ORANGE JUICE,,JUICE (ORANGE),39
10,PUPULE,CINNAMON SYRUP,,SYRUP (CINNAMON),39
11,PUPULE,VANILLA SYRUP,,SYRUP (VANILLA),39
12,PUPULE,ST. ELIZABETH ALLSPICE DRAM,,LIQUEUR (ALLSPICE DRAM),39
13,PUPULE,COLUMN STILL AGED RUM,4,RUM (COLUMN STILL AGED),39
14,PUPULE,ANGOSTURA BITTERS,,BITTERS (AROMATIC),39
15,,,,,
16,DON'S OWN GROG,LIME JUICE,,JUICE (LIME),40
17,DON'S OWN GROG,DEMERARA SYRUP,,SYRUP (DEMERARA),40
18,DON'S OWN GROG,GRENADINE,,SYRUP (GRENADINE),40
19,DON'S OWN GROG,LEOPOLD BROTHERS ROCKY MOUNTAIN BLACKBERRY LIQUEUR,,LIQUEUR (BLACKBERRY),40
20,DON'S OWN GROG,BLENDED AGED RUM,3,RUM (BLENDED AGED),40
21,DON'S OWN GROG,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),40
22,DON'S OWN GROG,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),40
23,DON'S OWN GROG,ANGOSTURA BITTERS,,BITTERS (AROMATIC),40
24,,,,,
25,PORT AU PRINCE,LIME JUICE,,JUICE (LIME),40
26,PORT AU PRINCE,PINEAPPLE JUICE,,JUICE (PINEAPPLE),40
27,PORT AU PRINCE,DEMERARA SYRUP,,SYRUP (DEMERARA),40
28,PORT AU PRINCE,GRENADINE,,SYRUP (GRENADINE),40
29,PORT AU PRINCE,JOHN D. TAYLOR'S VELVET FALERNUM,,LIQUEUR (FALERNUM),40
30,PORT AU PRINCE,CANE COFFEY STILL AGED RUM,,RUM (CANE COFFEY STILL AGED),40
31,PORT AU PRINCE,ANGOSTURA BITTERS,,BITTERS (AROMATIC),40
32,,,,,
33,TREE DOTS AND A DASH,LIME JUICE,,JUICE (LIME),43
34,TREE DOTS AND A DASH,ORANGE JUICE,,JUICE (ORANGE),43
35,TREE DOTS AND A DASH,HONEY SYRUP,,SYRUP (HONEY),43
